gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
SENP3,737231.5,3.14105E-18,2.02023E-17,0.065244264,0.009577633,0.657370325
SENP5,701549,0.001418106,0.001764754,0.038811214,0.032957853,0.956971888
SENP6,769476,1.46546E-17,8.77656E-17,0.173695149,0.081912171,0.661217018
SENP7,704700,7.37393E-05,0.000102836,0.036471391,0.026746588,0.927261787
SENP8,733986,2.04516E-12,6.66043E-12,0.05927396,0.022871551,0.767394507
SEPHS1,705048,1.2695E-07,2.34993E-07,0.03454121,0.00786508,0.797548822
SEPHS2,760696,4.49814E-24,5.00341E-23,0.085607114,0.02447127,0.665616727
SEPSECS-AS1,712862.5,6.54043E-06,1.00616E-05,0.048125828,0.040747854,0.949240072
SEPT10,682267,0.801882181,0.811965081,0.025351099,0.03045636,1.041649888
SEPT11,675300.5,0.444877889,0.460472716,0.035134576,0.072417702,1.281681606
SEPT14,708385.5,1.04926E-06,1.75579E-06,0.02797946,0.029011532,1.008243125
SEPT2,720757.5,0.005498904,0.006558301,0.482849246,0.569503244,1.149384443
SEPT6,687157,0.595514027,0.6101029,0.154087341,0.220326983,1.263575459
SEPT7,775252.5,7.85554E-15,3.46198E-14,0.211558556,0.163566872,0.844578001
SEPT9,830617.5,5.9457E-24,6.55372E-23,0.741606372,0.476752122,0.684257878
SERAC1,752579,4.45571E-17,2.52128E-16,0.080343993,0.035636229,0.748222475
SERBP1,762282,8.69616E-09,1.83648E-08,0.410676883,0.391264977,0.96178017
SERF2,641562.5,0.015123939,0.017423464,1.919427517,2.258613928,1.168192828
SERINC1,717387,0.003308614,0.004004364,0.181057953,0.253029697,1.258628365
SERINC2,694402,0.002292763,0.00280134,0.025066127,0.018673006,0.947721921
SERINC3,647867,0.01298846,0.015027257,0.285014327,0.484857231,1.52282205
SERINC5,703748,0.055953801,0.061885793,0.195782249,0.255715647,1.204546116
SERP1,729123.5,0.001915645,0.002359506,0.758547335,0.795677584,1.043388022
SERPINA1,746156.5,3.78125E-05,5.40798E-05,1.013458423,1.004090926,0.991566003
SERPINB1,727507,0.002242671,0.002742888,0.676247361,0.749067674,1.094147329
